id,description,en
recordAudit.declaration.reinstateDialogTitle,Title for the dialog when reinstate declaration,Reinstate declaration?
recordAudit.history.started,Declaration Started,Started
recordAudit.noContact,No contact for record audit,No contact details provided
recordAudit.noDateOfBirth,Label for date of birth not available,No date of birth
recordAudit.noDateOfDeath,Label for date of death not available,No date of death
recordAudit.noDateOfMarriage,Label for date of marriage not available,No date of marriage
recordAudit.noName,Label for name not available,No name provided
recordAudit.noPlaceOfBirth,Label for place of birth not available,No place of birth
recordAudit.noPlaceOfDeath,Label for place of death not availale,No place of death
recordAudit.noPlaceOfMarriage,Label for place of marriage not availale,No place of marriage
recordAudit.noStatus,Label for status not available,No status
recordAudit.noTrackingId,Label for tracking id not available,No tracking id
recordAudit.noType,Label for type of event not available,No event
recordAudit.placeOfBirth,Label for place of birth,Place of birth
recordAudit.placeOfDeath,Label for place of death,Place of death
recordAudit.placeOfMarriage,Label for place of marriage,Place of marriage
recordAudit.regAction.approvedCorrection,Approved Correction action,Correction approved
recordAudit.regAction.assigned,Assigned action,Assigned
recordAudit.regAction.corrected,Corrected action,Record corrected
recordAudit.regAction.downloaded,Retrieved action,Retrieved
recordAudit.regAction.flaggedAsPotentialDuplicate,Flagged as potential duplicate status message for record audit,Flagged as potential duplicate
recordAudit.regAction.markedAsDuplicate,Marked as a duplicate status message for record audit,Marked as a duplicate
recordAudit.regAction.markedAsNotDuplicate,Marked not a duplicate status message for record audit,Marked not a duplicate
recordAudit.regAction.reinstated,Reinstated action,"Reinstated to {regStatus, select, registered{registered} validated{ready for review} in_progress{in progress} declared{ready for review} rejected{requires updates} other{}}"
recordAudit.regAction.rejectedCorrection,Rejected Correction action,Correction rejected
recordAudit.regAction.requestedCorrection,Requested Correction action,Correction requested
recordAudit.regAction.unassigned,Unassigned action,Unassigned
recordAudit.regAction.verified,Verified action,Certificate verified
recordAudit.regAction.viewed,Viewed Record action,Viewed
recordAudit.regStatus.archived,Label for registration status archived,Archived
recordAudit.regStatus.certified,Label for registration status certified,Certified
recordAudit.regStatus.correctionRequested,Label for when someone requested correction,Correction requested
