id,name,partOf,locationType
CRVS_MGT1030180221,CEC ANTANETIBE,Location/MGT1030180221,CRVS_OFFICE
CRVS_MGT1030180222,CEC DONDONA,Location/MGT1030180222,CRVS_OFFICE
CRVS_MGT1030180223,CEC MAHAVELONA,Location/MGT1030180223,CRVS_OFFICE
CRVS_MGT1030180224,CEC MANANASY,Location/MGT1030180224,CRVS_OFFICE
CRVS_MGT1030180225,CEC MASINDRAY,Location/MGT1030180225,CRVS_OFFICE
CRVS_MGT1030180226,CEC SOAVINANDRIANA,Location/MGT1030180226,CRVS_OFFICE
CRVS_MGT1030180227,CEC TAMPONALA,Location/MGT1030180227,CRVS_OFFICE
CRVS_MGT1030180228,CEC AMBOHIDANERANA,Location/MGT1030180228,CRVS_OFFICE
CRVS_MGT1040190229,CEC AMBATOLAMPY,Location/MGT1040190229,CRVS_OFFICE
CRVS_MGT1040190230,CEC AMBATONDRAKALAVAO,Location/MGT1040190230,CRVS_OFFICE
CRVS_MGT1040190231,CEC AMBODIFARIHY,Location/MGT1040190231,CRVS_OFFICE
CRVS_MGT1040190232,CEC AMBOHIMPIHAONANA,Location/MGT1040190232,CRVS_OFFICE
CRVS_MGT1040190233,CEC ANDRANOVELONA,Location/MGT1040190233,CRVS_OFFICE
CRVS_MGT1040190234,CEC ANDRAVOLA VOHIPENO,Location/MGT1040190234,CRVS_OFFICE
CRVS_MGT1040190235,CEC ANDRIAMBILANY,Location/MGT1040190235,CRVS_OFFICE
CRVS_MGT1040190236,CEC ANTAKASINA,Location/MGT1040190236,CRVS_OFFICE
CRVS_MGT1040190237,CEC ANTANAMALAZA,Location/MGT1040190237,CRVS_OFFICE
CRVS_MGT1040190238,CEC ANTANIMASAKA,Location/MGT1040190238,CRVS_OFFICE
CRVS_MGT1040190239,CEC ANTSAMPANDRANO,Location/MGT1040190239,CRVS_OFFICE
CRVS_MGT1040190240,CEC BEHENJY,Location/MGT1040190240,CRVS_OFFICE
CRVS_MGT1040190241,CEC BELAMBO FIRAISANA,Location/MGT1040190241,CRVS_OFFICE
CRVS_MGT1040190242,CEC MANJAKATOMPO,Location/MGT1040190242,CRVS_OFFICE
CRVS_MGT1040190243,CEC MORARANO,Location/MGT1040190243,CRVS_OFFICE
CRVS_MGT1040190244,CEC SABOTSY NAMATOANA,Location/MGT1040190244,CRVS_OFFICE
CRVS_MGT1040190245,CEC TSIAFAJAVONA ANKARATRA,Location/MGT1040190245,CRVS_OFFICE
CRVS_MGT1040190246,CEC TSINJOARIVO,Location/MGT1040190246,CRVS_OFFICE
CRVS_MGT1040190247,CEC ANDRIANTSIVALANA,Location/MGT1040190247,CRVS_OFFICE
CRVS_MGT1040200248,CEC AMBATOLAHY,Location/MGT1040200248,CRVS_OFFICE
CRVS_MGT1040200249,CEC AMBATOMIADY,Location/MGT1040200249,CRVS_OFFICE
CRVS_MGT1040200250,CEC AMBATOTSIPIHANA,Location/MGT1040200250,CRVS_OFFICE
CRVS_MGT1040200251,CEC AMBODIRIANA,Location/MGT1040200251,CRVS_OFFICE
CRVS_MGT1040200252,CEC AMBOHIMANDROSO,Location/MGT1040200252,CRVS_OFFICE
CRVS_MGT1040200253,CEC AMBOHITOMPOINA,Location/MGT1040200253,CRVS_OFFICE
CRVS_MGT1040200254,CEC AMPITATAFIKA,Location/MGT1040200254,CRVS_OFFICE
CRVS_MGT1040200255,CEC ANDRANOFITO,Location/MGT1040200255,CRVS_OFFICE
CRVS_MGT1040200256,CEC ANTANIFOTSY,Location/MGT1040200256,CRVS_OFFICE
CRVS_MGT1040200257,CEC ANTSAHALAVA,Location/MGT1040200257,CRVS_OFFICE
CRVS_MGT1040200258,CEC ANTSAMPANDRANO,Location/MGT1040200258,CRVS_OFFICE
CRVS_MGT1040200259,CEC BELANITRA,Location/MGT1040200259,CRVS_OFFICE
CRVS_MGT1040200260,CEC ANJAMANGA,Location/MGT1040200260,CRVS_OFFICE
CRVS_MGT1040200261,CEC SOAMANANDRARINY,Location/MGT1040200261,CRVS_OFFICE
CRVS_MGT1040210262,CEC ANTSIRABE,Location/MGT1040210262,CRVS_OFFICE
CRVS_MGT1040220263,CEC ALAKAMISY,Location/MGT1040220263,CRVS_OFFICE
CRVS_MGT1040220264,CEC ALATSINAINY IBITY,Location/MGT1040220264,CRVS_OFFICE
CRVS_MGT1040220265,CEC AMBANO,Location/MGT1040220265,CRVS_OFFICE
CRVS_MGT1040220266,CEC AMBATOMENA,Location/MGT1040220266,CRVS_OFFICE
CRVS_MGT1040220267,CEC AMBOHIBARY,Location/MGT1040220267,CRVS_OFFICE
CRVS_MGT1040220268,CEC AMBOHIDRANANDRIANA,Location/MGT1040220268,CRVS_OFFICE
CRVS_MGT1040220269,CEC AMBOHIMIARIVO,Location/MGT1040220269,CRVS_OFFICE
CRVS_MGT1040220270,CEC AMBOHITSIMANOVA,Location/MGT1040220270,CRVS_OFFICE
CRVS_MGT1040220271,CEC ANDRANOMANELATRA,Location/MGT1040220271,CRVS_OFFICE
CRVS_MGT1040220272,CEC ANTANAMBAO,Location/MGT1040220272,CRVS_OFFICE
CRVS_MGT1040220273,CEC ANTANIMANDRY,Location/MGT1040220273,CRVS_OFFICE
CRVS_MGT1040220274,CEC ANTSOATANY,Location/MGT1040220274,CRVS_OFFICE
CRVS_MGT1040220275,CEC BELAZAO,Location/MGT1040220275,CRVS_OFFICE
CRVS_MGT1040220276,CEC MANANDONA,Location/MGT1040220276,CRVS_OFFICE
CRVS_MGT1040220277,CEC MANDROSOHASINA,Location/MGT1040220277,CRVS_OFFICE
CRVS_MGT1040220278,CEC MANGARANO,Location/MGT1040220278,CRVS_OFFICE
CRVS_MGT1040220279,CEC SAHANIVOTRY MANANDONA,Location/MGT1040220279,CRVS_OFFICE
CRVS_MGT1040220280,CEC SOANINDRARINY,Location/MGT1040220280,CRVS_OFFICE
CRVS_MGT1040220281,CEC TSARAHONENANA SAHANIVOTRY,Location/MGT1040220281,CRVS_OFFICE
CRVS_MGT1040220282,CEC VINANINKARENA,Location/MGT1040220282,CRVS_OFFICE
CRVS_MGT1040230283,CEC ALAKAMISY ANATIVATO,Location/MGT1040230283,CRVS_OFFICE
CRVS_MGT1040230284,CEC ALAKAMISY MAROSOSONA,Location/MGT1040230284,CRVS_OFFICE
CRVS_MGT1040230285,CEC ALAROBIA BEMAHA,Location/MGT1040230285,CRVS_OFFICE
CRVS_MGT1040230286,CEC AMBATONIKOLAHY,Location/MGT1040230286,CRVS_OFFICE
